file_path,file_type,css_matches,html_matches,liquid_matches,front_matter_matches,total_matches
./_archive/tags.css,css,117,0,0,0,117
./_archive/tag.html,html,0,75,1,0,76
./_layouts/dimension.html,html,0,65,0,0,65
./_scripts/_dev_journals/2025-03-16 brandmine-tag-system.md,md,0,19,20,10,49
./_scripts/_dev_journals/2025-03-21 brandmine-tagging-strategy and implementation.md,md,0,16,18,8,42
./_scripts/_dev_journals/2025-03-22 jekyll-multilingual-tagging-system.md,md,0,6,13,1,20
./_scripts/_dev_journals/2025-03-22-country-tag-implementation-summary.md,md,0,3,13,4,20
./pages/ru/index.html,html,0,20,0,0,20
./pages/zh/index.html,html,0,20,0,0,20
./pages/en/index.html,html,0,20,0,0,20
./_scripts/_dev_journals/2025-03-16 brandmine-blog-structure-summary.md,md,0,5,8,4,17
./_scripts/_dev_journals/2025-03-22 enhanced-summary-script-update.md,md,0,0,0,17,17
./_scripts/_dev_journals/2025-03-21 jekyll-tag-implementation.md,md,0,8,7,1,16
./assets/css/collections/dimensions/dimensions.css,css,15,0,0,0,15
./assets/css/pages/discovery.css,css,15,0,0,0,15
./assets/css-backup/collections/dimensions/dimensions.css,css,15,0,0,0,15
./assets/css-backup/pages/discovery.css,css,15,0,0,0,15
./pages/ru/discovery.md,md,0,14,0,0,14
./pages/zh/discovery.md,md,0,14,0,0,14
./pages/en/discovery.md,md,0,14,0,0,14
./_archive/tag-cloud.html,html,0,5,7,0,12
./_scripts/_dev_journals/2025-03-24 context snippets.md,md,0,7,0,4,11
./pages/ru/brands.md,md,0,11,0,0,11
./pages/zh/brands.md,md,0,11,0,0,11
./pages/en/brands.md,md,0,11,0,0,11
./_scripts/_dev_journals/2025-03-16 brandmine-tag-priority.md,md,0,0,0,10,10
./assets/css/collections/insights/insights-grid-categories.css,css,9,0,0,0,9
./assets/css-backup/collections/insights/insights-grid-categories.css,css,9,0,0,0,9
./_layouts/insight.html,html,0,8,0,0,8
./_archive/tag-list.html,html,0,2,6,0,8
./_scripts/_context_snippets/component_examples.md,md,0,7,0,0,7
./pages/ru/discover/attributes.md,md,0,6,1,0,7
./pages/zh/discover/attributes.md,md,0,6,1,0,7
./pages/en/discover/attributes.md,md,0,6,1,0,7
./pages/ru/discover/signals.md,md,0,6,0,0,6
./pages/zh/discover/signals.md,md,0,6,0,0,6
./pages/en/discover/signals.md,md,0,6,0,0,6
./_scripts/_dev_journals/2025-04-02 brandmine-context-package.md,md,0,5,0,0,5
./pages/ru/search.md,md,0,5,0,0,5
./pages/ru/404.md,md,0,5,0,0,5
./pages/zh/search.md,md,0,5,0,0,5
./pages/zh/404.md,md,0,5,0,0,5
./pages/en/search.md,md,0,5,0,0,5
./pages/en/404.md,md,0,5,0,0,5
./pages/en/discover/sectors.md,md,0,5,0,0,5
./_includes/components/carousels/featured-brands-carousel.html,html,0,3,1,0,4
./_includes/collections/dimensions/discovery-dimensions-grid.html,html,0,4,0,0,4
./_scripts/_context_snippets/tag_system.md,md,0,0,0,4,4
./_scripts/_dev_journals/2025-03-22 development-journal-entry.md,md,0,0,4,0,4
./_layouts/insights.html,html,0,4,0,0,4
./_layouts/brand.html,html,0,4,0,0,4
./_archive/featured-brands-carousel.html,html,0,3,1,0,4
./_archive/discovery-dimensions-grid.html,html,0,4,0,0,4
./_includes/components/cards/brand-card.html,html,0,3,0,0,3
./_includes/components/cards/insight-card.html,html,0,3,0,0,3
./_includes/collections/insights/insights-feed.html,html,0,2,1,0,3
