Block,Type,Class,Defined In,Element
about-page,Block,about-page,about.css,
brands,Block,brands,,
brands,Element,brands__card,brands.css,
brands,Element,brands__card-title,brands.css,
brands,Element,brands__cta,brands.css,
brands,Element,brands__feature-icon,brands.css,
brands,Element,brands__feature-item,brands.css,
brands,Element,brands__feature-text,brands.css,
brands,Element,brands__feature-title,brands.css,
brands,Element,brands__features-list,brands.css,
brands,Element,brands__feedback,brands.css,
brands,Element,brands__filter,brands.css,
brands,Element,brands__filters,brands.css,
brands,Element,brands__grid,brands.css,
brands,Element,brands__logo-placeholder,brands.css,
brands,Element,brands__meta,brands.css,
brands,Element,brands__tag,brands.css,
brands,Element,brands__title,brands.css,
brands__filter,Block,brands__filter,brands.css,
brands__filter,Modifier,brands__filter--active,brands.css,
brands__tag,Block,brands__tag,brands.css,
brands__tag,Modifier,brands__tag--country,brands.css,
brands__tag,Modifier,brands__tag--sector,brands.css,
btn,Block,btn,"buttons.css, home.css",
btn,Modifier,btn--block,buttons.css,
btn,Modifier,btn--disabled,buttons.css,
btn,Modifier,btn--lg,buttons.css,
btn,Modifier,btn--outline,buttons.css,
btn,Modifier,btn--primary,"buttons.css, home.css",
btn,Modifier,btn--secondary,"buttons.css, home.css",
btn,Modifier,btn--sm,buttons.css,
card,Block,card,cards.css,
card,Modifier,card--content,cards.css,
card,Modifier,card--white,cards.css,
contact-form-container,Block,contact-form-container,forms.css,
contact-icon,Block,contact-icon,about.css,
contact-info,Block,contact-info,about.css,
contact-item,Block,contact-item,about.css,
cta-buttons,Block,cta-buttons,home.css,
cta-panel,Block,cta-panel,forms.css,
discover,Block,discover,,
discover,Element,discover__card,discover.css,
discover,Element,discover__card-button,discover.css,
discover,Element,discover__card-text,discover.css,
discover,Element,discover__card-title,discover.css,
discover,Element,discover__grid,discover.css,
discovery,Block,discovery,,
discovery,Element,discovery__content,discovery-bem.css,
discovery,Element,discovery__intro,discovery-bem.css,
discovery,Element,discovery__nav,discovery-bem.css,
discovery,Element,discovery__pane,discovery-bem.css,
discovery,Element,discovery__tab,discovery-bem.css,
discovery,Element,discovery__tabs,discovery-bem.css,
discovery,Element,discovery__tags,discovery-bem.css,
dropdown,Block,dropdown,navigation.css,
dropdown-content,Block,dropdown-content,navigation.css,
featured-brand,Block,featured-brand,featured-brand.css,
featured-brand,Element,featured-brand__badge,featured-brand.css,
featured-brand,Element,featured-brand__body,featured-brand.css,
featured-brand,Element,featured-brand__description,featured-brand.css,
featured-brand,Element,featured-brand__image,featured-brand.css,
featured-brand,Element,featured-brand__img,featured-brand.css,
featured-brand,Element,featured-brand__link,featured-brand.css,
featured-brand,Element,featured-brand__meta,featured-brand.css,
featured-brand,Element,featured-brand__tags,featured-brand.css,
featured-brand,Element,featured-brand__title,featured-brand.css,
featured-brand,Modifier,featured-brand--highlighted,featured-brand.css,
footer,Block,footer,footer.css,
footer,Element,footer__copyright,footer.css,
footer,Element,footer__grid,footer.css,
footer,Element,footer__lang,footer.css,
footer,Element,footer__newsletter,footer.css,
footer,Element,footer__section,footer.css,
footer,Element,footer__social,footer.css,
footer,Element,footer__social-icon,footer.css,
footer,Element,footer__tagline,footer.css,
footer,Element,footer__text,footer.css,
footer__section,Block,footer__section,footer.css,
footer__section,Modifier,footer__section--center,footer.css,
footer__section,Modifier,footer__section--left,footer.css,
footer__section,Modifier,footer__section--right,footer.css,
form-container,Block,form-container,forms.css,
growth-signals-container,Block,growth-signals-container,signals.css,
growth-signals-intro,Block,growth-signals-intro,signals.css,
header,Block,header,header.css,
header,Element,header__container,header.css,
header,Element,header__dropdown,header.css,
header,Element,header__dropdown-content,header.css,
header,Element,header__lang,header.css,
header,Element,header__nav,header.css,
header,Element,header__nav-list,header.css,
header,Element,header__title,header.css,
header,Element,header__toggle,header.css,
header,Element,header__toggle-icon,header.css,
hero,Block,hero,,
hero,Element,hero__subtitle,text.css,
home,Block,home,,
home,Element,home__brands-carousel,home.css,
home,Element,home__insight-card,home.css,
home,Element,home__insight-category,home.css,
home,Element,home__insight-content,home.css,
home,Element,home__insight-image,home.css,
home,Element,home__insights,home.css,
home,Element,home__read-more,home.css,
home,Element,home__stat,home.css,
home,Element,home__stat-label,home.css,
home,Element,home__stat-number,home.css,
home,Element,home__stats,home.css,
home,Element,home__step,home.css,
home,Element,home__step-content,home.css,
home,Element,home__step-number,home.css,
home,Element,home__steps,home.css,
home,Element,home__view-all-insights,home.css,
insight-card,Block,insight-card,"home.css, insight-card.css, insights-feed.css",
insight-card,Element,insight-card__content,"insight-card.css, insights-feed.css",
insight-card,Element,insight-card__date,insights-feed.css,
insight-card,Element,insight-card__excerpt,"insight-card.css, insights-feed.css",
insight-card,Element,insight-card__image,"insight-card.css, insights-feed.css",
insight-card,Element,insight-card__image-wrapper,insights-feed.css,
insight-card,Element,insight-card__link,insights-feed.css,
insight-card,Element,insight-card__meta,"insight-card.css, insights-feed.css",
insight-card,Element,insight-card__premium-badge,insight-card.css,
insight-card,Element,insight-card__read-more,insight-card.css,
insight-card,Element,insight-card__tag,"insight-card.css, insights-feed.css",
