slug,language,category,paths
gourmet-foods,ru,sectors,"./_tags/ru/sectors/gourmet-foods.md, ./_discovery/ru/sectors/gourmet-foods.md, ./_dimensions/ru/sectors/gourmet-foods.md"
fermented-dairy,ru,sectors,"./_tags/ru/sectors/fermented-dairy.md, ./_discovery/ru/sectors/fermented-dairy.md, ./_dimensions/ru/sectors/fermented-dairy.md"
honey-bee-products,ru,sectors,"./_tags/ru/sectors/honey-bee-products.md, ./_discovery/ru/sectors/honey-bee-products.md, ./_dimensions/ru/sectors/honey-bee-products.md"
specialty-cheeses,ru,sectors,"./_tags/ru/sectors/specialty-cheeses.md, ./_discovery/ru/sectors/specialty-cheeses.md, ./_dimensions/ru/sectors/specialty-cheeses.md"
mineral-waters,ru,sectors,"./_tags/ru/sectors/mineral-waters.md, ./_discovery/ru/sectors/mineral-waters.md, ./_dimensions/ru/sectors/mineral-waters.md"
jewelry-watches,ru,sectors,"./_tags/ru/sectors/jewelry-watches.md, ./_discovery/ru/sectors/jewelry-watches.md, ./_dimensions/ru/sectors/jewelry-watches.md"
artisan-confectionery,ru,sectors,"./_tags/ru/sectors/artisan-confectionery.md, ./_discovery/ru/sectors/artisan-confectionery.md, ./_dimensions/ru/sectors/artisan-confectionery.md"
hotels-resorts,ru,sectors,"./_tags/ru/sectors/hotels-resorts.md, ./_discovery/ru/sectors/hotels-resorts.md, ./_dimensions/ru/sectors/hotels-resorts.md"
wine,ru,sectors,"./_tags/ru/sectors/wine.md, ./_discovery/ru/sectors/wine.md, ./_dimensions/ru/sectors/wine.md"
investment-ready,ru,signals,"./_tags/ru/signals/investment-ready.md, ./_discovery/ru/signals/investment-ready.md, ./_dimensions/ru/signals/investment-ready.md"
export-ready,ru,signals,"./_tags/ru/signals/export-ready.md, ./_discovery/ru/signals/export-ready.md, ./_dimensions/ru/signals/export-ready.md"
franchise-ready,ru,signals,"./_tags/ru/signals/franchise-ready.md, ./_discovery/ru/signals/franchise-ready.md, ./_dimensions/ru/signals/franchise-ready.md"
rapid-growth,ru,signals,"./_tags/ru/signals/rapid-growth.md, ./_discovery/ru/signals/rapid-growth.md, ./_dimensions/ru/signals/rapid-growth.md"
premium-positioning,ru,attributes,"./_tags/ru/attributes/premium-positioning.md, ./_discovery/ru/attributes/premium-positioning.md, ./_dimensions/ru/attributes/premium-positioning.md"
