Page,Language,Hero_Title_Key,Title_Exists,Title_Content,Hero_Description_Key,Description_Exists,Description_Content,Alternative_Key_Found,Content_Length,Language_Appropriate,Issues
about,EN,about.hero.title,NO,N/A,about.hero.description,NO,N/A,about.title,17,YES,MISSING_STANDARDIZED_STRUCTURE
about,RU,about.hero.title,NO,N/A,about.hero.description,NO,N/A,about.title,12,YES,MISSING_STANDARDIZED_STRUCTURE
about,ZH,about.hero.title,NO,N/A,about.hero.description,NO,N/A,about.title,13,YES,MISSING_STANDARDIZED_STRUCTURE
brands,EN,brands.hero.title,NO,N/A,brands.hero.description,NO,N/A,brands.title,43,YES,MISSING_STANDARDIZED_STRUCTURE
brands,RU,brands.hero.title,NO,N/A,brands.hero.description,NO,N/A,brands.title,66,YES,MISSING_STANDARDIZED_STRUCTURE
brands,ZH,brands.hero.title,NO,N/A,brands.hero.description,NO,N/A,brands.title,21,YES,MISSING_STANDARDIZED_STRUCTURE
founders,EN,founders.hero.title,NO,N/A,founders.hero.description,NO,N/A,founders.title,16,YES,MISSING_STANDARDIZED_STRUCTURE
founders,RU,founders.hero.title,NO,N/A,founders.hero.description,NO,N/A,founders.title,21,YES,MISSING_STANDARDIZED_STRUCTURE
founders,ZH,founders.hero.title,NO,N/A,founders.hero.description,NO,N/A,founders.title,6,YES,MISSING_STANDARDIZED_STRUCTURE
discovery,EN,discovery.hero.title,NO,N/A,discovery.hero.description,NO,N/A,discovery.discover_title,28,YES,MISSING_STANDARDIZED_STRUCTURE
discovery,RU,discovery.hero.title,NO,N/A,discovery.hero.description,NO,N/A,discovery.discover_title,29,YES,MISSING_STANDARDIZED_STRUCTURE
discovery,ZH,discovery.hero.title,NO,N/A,discovery.hero.description,NO,N/A,discovery.discover_title,10,YES,MISSING_STANDARDIZED_STRUCTURE
insights,EN,insights.hero.title,NO,N/A,insights.hero.description,NO,N/A,insights.hero_title,8,YES,MISSING_STANDARDIZED_STRUCTURE
insights,RU,insights.hero.title,NO,N/A,insights.hero.description,NO,N/A,insights.hero_title,10,YES,MISSING_STANDARDIZED_STRUCTURE
insights,ZH,insights.hero.title,NO,N/A,insights.hero.description,NO,N/A,insights.hero_title,2,YES,MISSING_STANDARDIZED_STRUCTURE
journal,EN,journal.hero.title,NO,N/A,journal.hero.description,NO,N/A,journal.hero_title,16,YES,MISSING_STANDARDIZED_STRUCTURE
journal,RU,journal.hero.title,NO,N/A,journal.hero.description,NO,N/A,journal.hero_title,18,YES,MISSING_STANDARDIZED_STRUCTURE
journal,ZH,journal.hero.title,NO,N/A,journal.hero.description,NO,N/A,journal.hero_title,6,YES,MISSING_STANDARDIZED_STRUCTURE
home,EN,home.hero.title,YES,"Illuminating BRICS+ Brands for Global Markets",home.hero.description,NO,N/A,home.hero.subtitle,46,YES,HAS_SUBTITLE_NOT_DESCRIPTION
home,RU,home.hero.title,YES,"Освещаем бренды БРИКС+ для глобальных рынков",home.hero.description,NO,N/A,home.hero.subtitle,44,YES,HAS_SUBTITLE_NOT_DESCRIPTION
home,ZH,home.hero.title,YES,"为全球市场照亮金砖+品牌",home.hero.description,NO,N/A,home.hero.subtitle,15,YES,HAS_SUBTITLE_NOT_DESCRIPTION
